,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,4.0,0.0,1.0,0.0,,0.0,5.0,5.0,20.0,discount,1177
1,5.0,1.0,1.0,47.0,1.0,0.0,3.0,3.0,7.0,discount,1177
2,2.0,1.0,0.0,13.0,1.0,,0.0,0.0,0.0,informational,1177
0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,14385
1,3.0,1.0,1.0,68.0,1.0,1.0,5.0,5.0,5.0,bogo,14385
2,0.0,1.0,1.0,0.0,1.0,0.0,10.0,10.0,10.0,bogo,14385
0,5.0,1.0,1.0,56.0,1.0,1.0,3.0,3.0,7.0,discount,14128
1,9.0,1.0,1.0,47.0,1.0,1.0,2.0,2.0,10.0,discount,14128
2,0.0,1.0,1.0,58.0,1.0,1.0,10.0,10.0,10.0,bogo,14128
3,6.0,1.0,1.0,24.0,1.0,1.0,2.0,2.0,10.0,discount,14128
0,4.0,1.0,0.0,0.0,1.0,,0.0,5.0,20.0,discount,8806
1,5.0,1.0,0.0,0.0,1.0,,0.0,3.0,7.0,discount,8806
2,9.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,8806
3,0.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,8806
0,5.0,1.0,1.0,15.0,0.5,0.5,6.0,3.0,7.0,discount,11017
1,2.0,1.0,0.0,3.0,1.0,,0.0,0.0,0.0,informational,11017
0,8.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,bogo,508
1,6.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,508
0,4.0,0.0,0.0,0.0,,,0.0,5.0,20.0,discount,16959
1,7.0,1.0,0.0,17.0,1.0,,0.0,0.0,0.0,informational,16959
2,0.0,1.0,1.0,36.0,1.0,1.0,10.0,10.0,10.0,bogo,16959
0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,3.0,7.0,discount,15818
1,7.0,1.0,0.0,3.0,1.0,,0.0,0.0,0.0,informational,15818
2,0.0,1.0,0.0,7.0,1.0,,0.0,10.0,10.0,bogo,15818
3,8.0,1.0,0.0,3.0,1.0,,0.0,5.0,5.0,bogo,15818
0,9.0,1.0,1.0,61.0,1.0,1.0,2.0,2.0,10.0,discount,16609
1,3.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,bogo,16609
2,0.0,0.0,0.0,0.0,,,0.0,10.0,10.0,bogo,16609
3,8.0,1.0,1.0,41.0,1.0,0.0,5.0,5.0,5.0,bogo,16609
4,6.0,1.0,1.0,92.0,1.0,1.0,2.0,2.0,10.0,discount,16609
0,4.0,0.0,0.0,0.0,,,0.0,5.0,20.0,discount,16527
1,5.0,1.0,1.0,27.0,1.0,1.0,3.0,3.0,7.0,discount,16527
2,0.0,1.0,0.0,7.0,1.0,,0.0,10.0,10.0,bogo,16527
3,8.0,1.0,1.0,45.0,1.0,0.5,10.0,5.0,5.0,bogo,16527
0,7.0,1.0,0.0,25.0,0.5,,0.0,0.0,0.0,informational,15837
1,0.0,1.0,1.0,128.0,1.0,0.0,10.0,10.0,10.0,bogo,15837
2,8.0,1.0,1.0,62.0,1.0,1.0,5.0,5.0,5.0,bogo,15837
0,5.0,1.0,1.0,19.0,1.0,0.0,3.0,3.0,7.0,discount,9259
1,9.0,1.0,1.0,45.0,1.0,0.5,4.0,2.0,10.0,discount,9259
2,0.0,1.0,1.0,0.0,1.0,0.0,10.0,10.0,10.0,bogo,9259
0,4.0,1.0,0.0,0.0,1.0,,0.0,5.0,20.0,discount,14482
1,9.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,14482
2,1.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,14482
3,3.0,1.0,0.0,0.0,1.0,,0.0,5.0,5.0,bogo,14482
4,6.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,14482
0,9.0,0.0,1.0,0.0,,0.0,2.0,2.0,10.0,discount,8837
1,7.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,8837
2,3.0,0.0,1.0,0.0,,0.0,5.0,5.0,5.0,bogo,8837
3,8.0,1.0,0.0,0.0,1.0,,0.0,5.0,5.0,bogo,8837
4,6.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,8837
0,5.0,1.0,1.0,121.0,1.0,0.5,6.0,3.0,7.0,discount,14240
1,2.0,1.0,0.0,44.0,1.0,,0.0,0.0,0.0,informational,14240
2,7.0,1.0,0.0,10.0,1.0,,0.0,0.0,0.0,informational,14240
0,5.0,1.0,1.0,8.0,1.0,1.0,3.0,3.0,7.0,discount,16483
1,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,16483
2,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,16483
3,7.0,1.0,0.0,2.0,1.0,,0.0,0.0,0.0,informational,16483
4,6.0,1.0,0.0,6.0,1.0,,0.0,2.0,10.0,discount,16483
0,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,16791
1,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,16791
2,0.0,1.0,0.0,12.0,1.0,,0.0,10.0,10.0,bogo,16791
3,6.0,1.0,0.0,3.0,1.0,,0.0,2.0,10.0,discount,16791
0,9.0,1.0,1.0,50.0,1.0,1.0,2.0,2.0,10.0,discount,15435
1,7.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,informational,15435
2,3.0,0.0,1.0,0.0,,0.0,5.0,5.0,5.0,bogo,15435
3,6.0,1.0,1.0,48.0,1.0,1.0,2.0,2.0,10.0,discount,15435
0,4.0,1.0,1.0,132.0,1.0,1.0,5.0,5.0,20.0,discount,15904
1,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,15904
2,3.0,0.0,1.0,0.0,,0.0,5.0,5.0,5.0,bogo,15904
3,6.0,1.0,1.0,78.0,1.0,1.0,2.0,2.0,10.0,discount,15904
0,4.0,0.0,0.0,0.0,,,0.0,5.0,20.0,discount,12355
1,1.0,1.0,0.0,1.0,1.0,,0.0,10.0,10.0,bogo,12355
2,7.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,12355
3,0.0,1.0,0.0,12.0,1.0,,0.0,10.0,10.0,bogo,12355
4,6.0,1.0,1.0,19.0,1.0,1.0,2.0,2.0,10.0,discount,12355
0,5.0,1.0,1.0,20.0,1.0,1.0,3.0,3.0,7.0,discount,9131
1,1.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,9131
2,7.0,1.0,0.0,11.0,1.0,,0.0,0.0,0.0,informational,9131
0,4.0,1.0,1.0,81.0,1.0,1.0,5.0,5.0,20.0,discount,3401
1,5.0,1.0,1.0,30.0,1.0,1.0,3.0,3.0,7.0,discount,3401
2,9.0,1.0,1.0,144.0,1.0,1.0,2.0,2.0,10.0,discount,3401
0,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,16655
1,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,16655
2,0.0,1.0,1.0,27.0,1.0,1.0,10.0,10.0,10.0,bogo,16655
3,8.0,1.0,0.0,0.0,1.0,,0.0,5.0,5.0,bogo,16655
4,6.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,16655
0,4.0,0.0,0.0,0.0,,,0.0,5.0,20.0,discount,16830
1,5.0,1.0,1.0,8.0,1.0,1.0,3.0,3.0,7.0,discount,16830
2,9.0,1.0,0.0,9.0,1.0,,0.0,2.0,10.0,discount,16830
3,3.0,0.0,0.0,0.0,,,0.0,5.0,5.0,bogo,16830
4,6.0,1.0,1.0,15.0,1.0,1.0,2.0,2.0,10.0,discount,16830
0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,14042
1,7.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,14042
2,3.0,1.0,1.0,17.0,1.0,1.0,5.0,5.0,5.0,bogo,14042
3,8.0,1.0,1.0,9.0,1.0,1.0,5.0,5.0,5.0,bogo,14042
4,6.0,1.0,1.0,77.0,1.0,1.0,2.0,2.0,10.0,discount,14042
0,5.0,1.0,0.0,3.0,1.0,,0.0,3.0,7.0,discount,16354
1,1.0,1.0,0.0,3.0,1.0,,0.0,10.0,10.0,bogo,16354
2,8.0,1.0,1.0,15.0,1.0,1.0,5.0,5.0,5.0,bogo,16354
3,6.0,1.0,0.0,3.0,1.0,,0.0,2.0,10.0,discount,16354
0,2.0,1.0,0.0,21.0,0.6666666666666666,,0.0,0.0,0.0,informational,5374
0,4.0,1.0,0.0,19.0,1.0,,0.0,5.0,20.0,discount,10902
1,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,10902
2,7.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,10902
0,9.0,1.0,1.0,103.0,1.0,1.0,2.0,2.0,10.0,discount,3638
1,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,3638
2,0.0,1.0,1.0,22.0,1.0,1.0,10.0,10.0,10.0,bogo,3638
0,2.0,1.0,0.0,7.0,1.0,,0.0,0.0,0.0,informational,4298
1,0.0,1.0,0.0,29.0,1.0,,0.0,10.0,10.0,bogo,4298
0,5.0,0.0,1.0,0.0,,0.0,3.0,3.0,7.0,discount,1837
1,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,1837
2,8.0,1.0,1.0,39.0,1.0,1.0,5.0,5.0,5.0,bogo,1837
3,6.0,1.0,1.0,57.0,1.0,1.0,2.0,2.0,10.0,discount,1837
0,5.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,7.0,discount,15422
1,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,15422
2,0.0,1.0,1.0,33.0,1.0,1.0,10.0,10.0,10.0,bogo,15422
3,6.0,1.0,1.0,403.0,1.0,1.0,4.0,2.0,10.0,discount,15422
0,5.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,7.0,discount,15675
1,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,15675
2,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,15675
