,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,5,1,0,4,1.0,,0.0,3,7,discount,4668
1,6,1,0,5,1.0,,0.0,2,10,discount,4668
0,4,0,0,0,,,0.0,5,20,discount,4670
1,9,0,0,0,,,0.0,2,10,discount,4670
2,2,1,0,19,1.0,,0.0,0,0,informational,4670
3,1,1,1,112,1.0,1.0,20.0,10,10,bogo,4670
4,7,1,0,48,1.0,,0.0,0,0,informational,4670
0,4,0,1,0,,0.0,5.0,5,20,discount,4671
1,1,1,1,50,1.0,0.0,10.0,10,10,bogo,4671
2,8,1,1,51,1.0,1.0,5.0,5,5,bogo,4671
3,6,1,1,119,1.0,1.0,2.0,2,10,discount,4671
0,9,1,1,109,1.0,1.0,4.0,2,10,discount,4672
1,2,1,0,565,1.0,,0.0,0,0,informational,4672
2,6,1,1,79,1.0,1.0,2.0,2,10,discount,4672
0,9,1,1,48,1.0,0.0,2.0,2,10,discount,4673
1,2,0,0,0,,,0.0,0,0,informational,4673
2,1,0,1,0,,0.0,10.0,10,10,bogo,4673
3,7,1,0,22,1.0,,0.0,0,0,informational,4673
4,8,1,1,36,1.0,1.0,5.0,5,5,bogo,4673
0,7,0,0,0,,,0.0,0,0,informational,4674
1,8,1,0,0,1.0,,0.0,5,5,bogo,4674
2,6,1,0,0,1.0,,0.0,2,10,discount,4674
0,4,1,0,17,1.0,,0.0,5,20,discount,4676
1,7,1,0,10,1.0,,0.0,0,0,informational,4676
2,0,1,0,9,1.0,,0.0,10,10,bogo,4676
3,8,1,1,25,1.0,1.0,10.0,5,5,bogo,4676
0,4,1,1,59,1.0,1.0,5.0,5,20,discount,4677
1,2,1,0,0,1.0,,0.0,0,0,informational,4677
2,8,1,1,52,0.6666666666666666,0.3333333333333333,15.0,5,5,bogo,4677
0,4,1,1,41,1.0,1.0,5.0,5,20,discount,4678
1,1,1,1,38,1.0,1.0,10.0,10,10,bogo,4678
2,3,1,1,0,1.0,0.0,5.0,5,5,bogo,4678
3,0,1,1,15,1.0,1.0,10.0,10,10,bogo,4678
0,2,1,0,0,0.0,,0.0,0,0,informational,4679
1,1,0,0,0,,,0.0,10,10,bogo,4679
2,0,1,0,7,1.0,,0.0,10,10,bogo,4679
3,6,1,1,17,1.0,1.0,2.0,2,10,discount,4679
0,9,0,0,0,,,0.0,2,10,discount,11357
1,2,0,0,0,,,0.0,0,0,informational,11357
2,0,1,0,4,1.0,,0.0,10,10,bogo,11357
3,6,1,0,1,1.0,,0.0,2,10,discount,11357
0,4,1,1,35,1.0,0.0,5.0,5,20,discount,4681
1,5,1,1,91,1.0,1.0,3.0,3,7,discount,4681
2,7,1,0,0,1.0,,0.0,0,0,informational,4681
3,0,1,1,61,1.0,0.0,10.0,10,10,bogo,4681
4,6,1,1,77,1.0,1.0,2.0,2,10,discount,4681
0,2,1,0,25,1.0,,0.0,0,0,informational,4682
1,0,1,0,0,1.0,,0.0,10,10,bogo,4682
0,4,0,0,0,,,0.0,5,20,discount,4683
1,9,0,0,0,,,0.0,2,10,discount,4683
2,7,1,0,0,1.0,,0.0,0,0,informational,4683
3,0,1,0,15,1.0,,0.0,10,10,bogo,4683
4,6,1,0,4,1.0,,0.0,2,10,discount,4683
0,4,1,1,0,1.0,0.0,5.0,5,20,discount,4684
1,5,1,1,148,1.0,1.0,6.0,3,7,discount,4684
2,0,1,1,39,1.0,1.0,10.0,10,10,bogo,4684
3,8,1,1,101,1.0,0.5,10.0,5,5,bogo,4684
0,5,1,1,21,1.0,1.0,3.0,3,7,discount,4685
1,7,1,0,21,1.0,,0.0,0,0,informational,4685
2,3,1,0,0,1.0,,0.0,5,5,bogo,4685
3,8,1,1,11,1.0,1.0,5.0,5,5,bogo,4685
4,6,1,0,0,1.0,,0.0,2,10,discount,4685
0,9,0,0,0,,,0.0,2,10,discount,4686
1,2,1,0,1,1.0,,0.0,0,0,informational,4686
2,3,0,0,0,,,0.0,5,5,bogo,4686
3,0,1,0,2,1.0,,0.0,10,10,bogo,4686
4,8,1,0,6,1.0,,0.0,5,5,bogo,4686
5,6,1,0,3,1.0,,0.0,2,10,discount,4686
0,5,1,1,14,1.0,1.0,3.0,3,7,discount,4687
1,2,1,0,0,1.0,,0.0,0,0,informational,4687
2,1,1,1,23,1.0,1.0,10.0,10,10,bogo,4687
3,7,1,0,0,1.0,,0.0,0,0,informational,4687
4,3,0,0,0,,,0.0,5,5,bogo,4687
5,8,1,1,0,0.0,0.0,5.0,5,5,bogo,4687
0,5,1,1,8,1.0,1.0,3.0,3,7,discount,4689
1,2,1,0,0,1.0,,0.0,0,0,informational,4689
2,7,1,0,0,1.0,,0.0,0,0,informational,4689
3,0,1,0,9,1.0,,0.0,10,10,bogo,4689
0,5,1,0,0,1.0,,0.0,3,7,discount,11398
1,9,1,1,35,1.0,1.0,2.0,2,10,discount,11398
2,2,0,0,0,,,0.0,0,0,informational,11398
3,8,1,0,0,1.0,,0.0,5,5,bogo,11398
4,6,1,1,12,1.0,1.0,2.0,2,10,discount,11398
