,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,9.0,0.0,1.0,0.0,,0.0,2.0,2.0,10.0,discount,8686
1,2.0,1.0,0.0,11.0,1.0,,0.0,0.0,0.0,informational,8686
2,8.0,1.0,1.0,10.0,1.0,1.0,5.0,5.0,5.0,bogo,8686
0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,7754
1,3.0,0.0,1.0,0.0,,0.0,5.0,5.0,5.0,bogo,7754
2,6.0,1.0,1.0,200.0,1.0,1.0,2.0,2.0,10.0,discount,7754
0,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,10050
1,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,10050
2,1.0,1.0,0.0,1.0,1.0,,0.0,10.0,10.0,bogo,10050
0,5.0,1.0,1.0,14.0,1.0,0.0,3.0,3.0,7.0,discount,4981
1,3.0,1.0,1.0,20.0,1.0,1.0,5.0,5.0,5.0,bogo,4981
0,2.0,1.0,0.0,2.0,1.0,,0.0,0.0,0.0,informational,2021
1,1.0,1.0,0.0,9.0,1.0,,0.0,10.0,10.0,bogo,2021
2,8.0,1.0,0.0,0.0,1.0,,0.0,5.0,5.0,bogo,2021
3,6.0,1.0,0.0,8.0,1.0,,0.0,2.0,10.0,discount,2021
0,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,16583
1,7.0,1.0,0.0,4.0,0.75,,0.0,0.0,0.0,informational,16583
0,4.0,0.0,1.0,0.0,,0.0,5.0,5.0,20.0,discount,6630
1,5.0,1.0,1.0,33.0,1.0,0.0,3.0,3.0,7.0,discount,6630
2,6.0,1.0,1.0,40.0,1.0,1.0,2.0,2.0,10.0,discount,6630
0,5.0,1.0,0.0,0.0,1.0,,0.0,3.0,7.0,discount,1718
1,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,1718
2,1.0,1.0,1.0,16.0,1.0,1.0,10.0,10.0,10.0,bogo,1718
3,7.0,1.0,0.0,53.0,1.0,,0.0,0.0,0.0,informational,1718
