,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,7,1,0,49,1.0,,0.0,0,0,informational,3
1,3,1,1,37,1.0,1.0,5.0,5,5,bogo,3
2,0,1,1,48,1.0,1.0,10.0,10,10,bogo,3
3,8,1,1,0,1.0,0.0,5.0,5,5,bogo,3
4,4,1,0,1,1.0,,0.0,5,20,discount,4
5,2,1,0,0,1.0,,0.0,0,0,informational,4
6,7,0,0,0,,,0.0,0,0,informational,4
7,9,1,0,0,1.0,,0.0,2,10,discount,5
8,2,0,0,0,,,0.0,0,0,informational,5
9,3,1,1,18,1.0,1.0,5.0,5,5,bogo,5
10,6,1,1,0,1.0,0.0,2.0,2,10,discount,5
11,9,1,0,0,1.0,,0.0,2,10,discount,6
12,2,1,0,0,1.0,,0.0,0,0,informational,6
13,1,1,0,0,1.0,,0.0,10,10,bogo,6
14,6,1,0,0,1.0,,0.0,2,10,discount,6
15,5,1,0,0,1.0,,0.0,3,7,discount,7
16,9,1,0,0,1.0,,0.0,2,10,discount,7
17,1,1,0,0,1.0,,0.0,10,10,bogo,7
18,3,1,0,0,1.0,,0.0,5,5,bogo,7
19,0,0,0,0,,,0.0,10,10,bogo,7
20,9,1,1,15,1.0,1.0,2.0,2,10,discount,8
21,3,1,1,15,1.0,1.0,5.0,5,5,bogo,8
22,8,1,1,20,1.0,1.0,10.0,5,5,bogo,8
23,6,1,1,11,1.0,1.0,2.0,2,10,discount,8
24,5,1,0,5,1.0,,0.0,3,7,discount,10
25,0,1,1,0,1.0,0.0,10.0,10,10,bogo,10
26,5,1,0,2,1.0,,0.0,3,7,discount,12
27,2,0,0,0,,,0.0,0,0,informational,12
28,6,1,1,13,1.0,1.0,2.0,2,10,discount,12
29,4,1,0,12,1.0,,0.0,5,20,discount,13
30,1,1,1,12,1.0,1.0,10.0,10,10,bogo,13
31,7,1,0,0,1.0,,0.0,0,0,informational,13
32,0,1,1,44,1.0,0.0,10.0,10,10,bogo,13
33,8,1,1,12,1.0,1.0,5.0,5,5,bogo,13
34,4,1,0,0,1.0,,0.0,5,20,discount,15
35,5,1,1,125,1.0,0.5,6.0,3,7,discount,15
36,6,1,1,69,1.0,1.0,2.0,2,10,discount,15
37,4,1,0,0,1.0,,0.0,5,20,discount,17
38,5,1,0,0,1.0,,0.0,3,7,discount,17
39,1,1,0,0,1.0,,0.0,10,10,bogo,17
40,7,1,0,0,1.0,,0.0,0,0,informational,17
41,0,1,0,0,1.0,,0.0,10,10,bogo,17
42,4,1,0,3,1.0,,0.0,5,20,discount,3746
43,9,1,0,2,1.0,,0.0,2,10,discount,3746
44,8,1,0,7,1.0,,0.0,5,5,bogo,3746
45,4,1,1,109,1.0,1.0,5.0,5,20,discount,21
46,2,1,0,30,1.0,,0.0,0,0,informational,21
47,0,1,1,0,1.0,0.0,10.0,10,10,bogo,21
48,2,1,0,54,1.0,,0.0,0,0,informational,22
49,1,1,0,0,1.0,,0.0,10,10,bogo,22
50,7,1,0,25,1.0,,0.0,0,0,informational,22
51,6,1,1,54,1.0,1.0,2.0,2,10,discount,22
52,4,1,1,51,1.0,0.0,10.0,5,20,discount,13431
53,9,1,0,7,1.0,,0.0,2,10,discount,13431
54,7,0,0,0,,,0.0,0,0,informational,13431
55,2,1,0,15,1.0,,0.0,0,0,informational,24
56,1,1,1,28,1.0,1.0,10.0,10,10,bogo,24
57,6,1,1,75,1.0,1.0,4.0,2,10,discount,24
58,4,1,1,75,1.0,1.0,10.0,5,20,discount,25
59,9,1,1,27,1.0,1.0,2.0,2,10,discount,25
60,1,1,1,28,1.0,1.0,10.0,10,10,bogo,25
61,3,1,0,0,1.0,,0.0,5,5,bogo,25
62,4,1,0,0,1.0,,0.0,5,20,discount,26
63,9,0,0,0,,,0.0,2,10,discount,26
64,3,1,0,11,1.0,,0.0,5,5,bogo,26
65,0,1,0,16,1.0,,0.0,10,10,bogo,26
66,6,1,1,11,1.0,1.0,2.0,2,10,discount,26
67,9,1,1,24,1.0,1.0,2.0,2,10,discount,29
68,7,1,0,7,1.0,,0.0,0,0,informational,29
69,3,1,0,0,1.0,,0.0,5,5,bogo,29
70,6,1,1,15,1.0,0.0,2.0,2,10,discount,29
